nome,email,cnpj,ativo,senha,foto_url
Fernandes Ltda.,rnunes@freitas.com,58.941.032/0001-71,true,$2b$12$8GSwVGe55Sd.up1e4fY6TO51Ibe2eKoGjG5BGIgM4JfOXL.SHHJZG,https://i.pravatar.cc/300?u=1682d8b6-7c3d-47f9-814f-46e6dae60e03
Moraes S/A,castroalana@duarte.br,08.432.697/0001-81,true,$2b$12$...B5iimRzBV5IqwBiNOTOkDqjXTXuvMZT7IAI71DhsrzCePFopPC,https://i.pravatar.cc/300?u=4a8f2eda-21ce-4552-b47c-38b232fae6b0
Souza,fcavalcante@sa.org,06.874.153/0001-44,true,$2b$12$KE8zlxa3dlk43J8Brn.loufrmISOYYVFWnvq3xcklzqi5AFLdtAbK,
Oliveira,hmendes@monteiro.com.br,21.780.695/0001-41,true,$2b$12$NMuCE1HBR.wrk1wKcHXG5.tQBv9Nzpf5oqjr2dtMZIrLNCUN1B2Py,https://i.pravatar.cc/300?u=f09b1b0e-209a-4c1a-90f0-5017f4097600
Azevedo,monteironina@almeida.com,65.930.148/0001-70,false,$2b$12$Q/N/vcYF0zmaN7Vd1Tip4eu/dQoQ8fWuLF.Ny5wF6OgzlxeGnFrkq,
Fernandes,clarice17@albuquerque.net,56.370.824/0001-08,true,$2b$12$4KlJ0OPYvELgU/yCvTlfqeOuNft.mMdeGJ9fwUglZ/v5aeajvLycy,https://i.pravatar.cc/300?u=9923a33c-cff2-4913-bf80-6679ab246843
Ferreira,xvargas@freitas.br,42.816.953/0001-72,true,$2b$12$5IigUZunaNBO6eqfXtk6/eosy.xmb5GoyDFsXCuosgvWzrpYCWm9u,https://i.pravatar.cc/300?u=8f460eb6-ddc2-4edd-94cc-1abecb2ff1e9
Novaes S.A.,gael42@moraes.gov.br,24.759.681/0001-34,true,   ,
Montenegro Campos Ltda.,maria-helenasampaio@pereira.br,91.765.283/0001-18,false,$2b$12$UvpuswIOLwL8daUZr1sHjONRM1PNfhlz0XNBaS7Hhf0LTNfWCgg3K,
Machado e Filhos,marquesmatteo@jesus.gov.br,67.831.594/0001-53,false,$2b$12$bgQs2PhyLt.goGwD8Dzr4eSK4RHYo9d4AYZxFcEVg4YwSyes98XHG,https://i.pravatar.cc/300?u=f4ce8edb-d7e7-4532-ab23-4b708bfbf5da
Sampaio,contato@,23.076.549/0001-65,true,$2b$12$M.V4hnj75HnfPSaTNTCQU.5Lt9q1LHK02YgQE21Y4VkA2TJNkOoXG,https://i.pravatar.cc/300?u=9df1b979-480e-4138-b592-3a10d9dc5d6e
Ramos,sem-arroba.com.br,29.130.476/0001-29,true,$2b$12$49yeuXGOAFQREmdxVwFkFeVjxI41szJ/TyK0EZ0SSk16v2o0TiQ26,https://i.pravatar.cc/300?u=db0028be-9c61-40db-b4c3-522f0a940c3c
Montenegro das Neves Ltda.,cauesales@macedo.com,14.695.087/0001-73,true,$2b$12$/gnDgyZzASgbR6AmBqjRM.AFV3948slkwGEdWXYwq2q0inHplb7KK,https://i.pravatar.cc/300?u=1c721ee7-cea5-403d-b31d-8e177eee809a
Pastor,jesusmaria-sophia@barros.br,93.561.780/0001-20,false,$2b$12$QZ793ybWI.z5MZAO/931uORnYR5birKUeuByIdFSwwVldue6ZBIUa,https://i.pravatar.cc/300?u=bd925c9a-dc56-48d1-9b87-0d5e6d5bc5e4
Silveira da Conceição Ltda.,rhavirodrigues@machado.br,21.768.954/0001-19,true,$2b$12$MOOA2HJPPaIPgHyAeU2XL.6NnSYeDBLjHrYJE.90SY53dnltGcqjy,https://i.pravatar.cc/300?u=08a6036a-e618-43b3-9bf4-e320f3b7e856
Siqueira Rezende S.A.,pda-luz@fonseca.br,34.189.750/0001-75,false,$2b$12$g9noOf30dakRmplkqvPT4eN7nM9uPdv1IqIWhEd8SAUmV9LHC.8Ti,
Lopes Cardoso e Filhos,larissavieira@carvalho.com,56.014.938/0001-15,true,$2b$12$M2Q4PX8bVjr13qQdePbyBeWBjW6fm4DWh1KHayZgHgxuXO9DVth3m,https://i.pravatar.cc/300?u=737c0ed2-6d22-4482-9420-9cc1c5a20859
,camposluiz-gustavo@borges.br,70.634.289/0001-86,true,$2b$12$UvpahFjpdiFJoUTzcmMD.ekGQqczmluH4ofzRVnA847vev6oehytW,https://i.pravatar.cc/300?u=61d3425a-aee9-4327-84a1-246c195a5b95
Peixoto da Mota - ME,bcassiano@marques.br,29.764.035/0001-89,false,$2b$12$AkStAvJeVU.W/7tpgaGWxumQQaZmaRyMIWufCNPUp4eOHiLyER7Yy,https://i.pravatar.cc/300?u=036efb78-9ae3-4915-95a0-aed13f222281
