id_usuario,cep,estado,bairro,rua,numero,complemento
fd8c1e6b-6968-47d5-b073-8283690f2b84,37788069,RO,das Flores,Distrito Guerra,4332,Bloco B
8612673d-6719-46e1-89c9-68165a4916b8,80683-297,ES,do Amparo,Trevo Câmara,4572,Casa 2
abdeb095-3696-4bea-821a-d37a7fd82804,77023-826,MA,do Oeste,Rua de da Cruz,4736,Apto 12
ab0313d5-f4fd-4a51-833a-e2cd2880caea,67255-174,PR,do Norte,Residencial Novaes,5195,Bloco B
b88b40bd-8b21-41d0-81fe-b6d448d4d01f,92125-690,SE,dos Dourados,Viela Costela,4481,Casa 2
32f4b58a-09fc-4b85-bea4-96cb6ec8815f,69475506,RO,do Amparo,Pátio de Nunes,8900,Bloco B
não-é-um-uuid,32347627,MG,do Sul,Viela de Campos,5655,
3042b0d2-4d40-4537-81c1-f87a8f65b0e5,,MA,da Serra,Núcleo Almeida,690,
1c313950-14ef-4536-9108-5db384cfc9f7,49438052,RR,da Prata,Recanto de Mendes,1295,Casa 2
d5c451fc-da99-448c-9d9f-46fe105a5581,43087648,SPP,da Praia,Viaduto Azevedo,7850,
d4f8bba3-ba4f-4886-a885-e1483f437adf,76851775,TO,Grande,Feira de Montenegro,8825,Casa 2
a08bedf5-3219-41ac-a5e7-268d6f9b5608,28226-128,SPP,da Mata,Estação da Mota,2250,
ae879517-9994-4301-8c69-2a8feefd346d,78464406,SC,Paulista,Vale Otávio Marques,9615,Apto 12
19115543-34ee-438d-b514-796525a40a6c,64146-629,RO,Paulista,Núcleo da Mota,8701,Apto 12
fdf80433-4f08-4560-a03b-7ef403ddd007,72142-743,AL,da Mata,Condomínio de Camargo,1642,Bloco B
efe73b27-5393-43ba-be93-38b21317e838,42599923,PR,do Amparo,Aeroporto de Correia,1648,Apto 12
326e2625-1576-42e2-aec6-7beb6904083e,41626931,PI,do Sul,Trecho Calebe Azevedo,2588,Bloco B
e9911045-e2aa-4e12-a97f-4fc121100090,46286346,PR,do Amparo,Fazenda de Machado,7823,Apto 12
dd7a7a4b-0ccc-4a6a-a6af-0c229bcfe9d5,03651333,MA,Verde,Travessa Luiz Gustavo Cirino,5263,Casa 2
a6e6d786-9b9e-446b-a0c9-167f2e5f4f13,58885-721,SP,das Pedras,Vale Rezende,1466,Apto 12
11847d5d-8608-4f7d-9d35-fe5adf0aff5f,83190-471,SC,da Mata,Loteamento Augusto Brito,612,Apto 12
12c3dc18-96d2-4b0d-b225-42163c3fa18c,03328926,TO,das Pedras,Sítio Cunha,2881,
02bbd72f-53ad-4bcf-b56a-d3d4c8733707,12345,SE,de Minas,Trecho de Casa Grande,8117,
a973a9a5-7485-467d-a3ae-af192fcd75ff,94368482,SC,do Galho,Praia Costa,4743,
c35e6588-7f37-4fbe-bb1e-6f772baceb27,80576-274,RJ,das Pedras,Conjunto Gonçalves,9876,
3393e487-97c8-4ad4-9459-aa9d74ab4b2d,31972996,SPP,das Pedras,Trevo José Miguel Duarte,4663,
4eb62231-a133-4551-9084-b211208f1a8c,15014-878,RS,Paulista,Rodovia de Câmara,8902,Bloco B
não-é-um-uuid,95407350,BA,do Oeste,Avenida Cardoso,8262,
221547ee-1396-42c1-bda7-b9c264e73343,17976-169,DF,do Oeste,Via de Peixoto,1846,Casa 2
d9c9a6c4-dd72-4f0e-830c-d7fbe56f3607,65051-847,PB,do Galho,Morro João Pedro Costa,4216,Apto 12
c24f731f-235f-432e-9aed-a92f1b9172fb,97352-702,MT,do Sul,Viela Heloisa Cunha,4834,Apto 12
8506b03c-cf86-45b9-88c6-15a460a3c9a0,01722799,RS,do Norte,Núcleo Lucca Ribeiro,6644,Bloco B
87e6f679-1826-4efc-b357-ccff200e6bda,17814738,AP,de Minas,Avenida Pietro Pires,6568,
35bb8968-974f-45bd-8aa1-f7bc54fa19f8,60204310,BA,do Campo,Viela de Campos,7823,Casa 2
ca5a8cb5-f31e-43f2-9eee-05f71b1269a8,20557-878,São Paulo,da Prata,Vale Eloá Farias,4273,
3ccc45de-9815-4662-a126-7f06a033d907,35732-350,PB,de Minas,Largo Luiz Fernando Nascimento,4375,Casa 2
92d983d0-5913-44b7-aa48-e0f475a71487,88934419,SC,da Serra,Chácara de Sá,9387,
3d3b454d-0465-4681-a232-0dda55c96551,84209976,MS,do Galho,Vila Benjamin Nunes,3872,
fee08e8e-bd28-40fe-b0bc-4f111eda672e,35214-759,PB,dos Dourados,Vila Borges,5027,Apto 12
decca319-9acc-4080-a6f6-26f07ae1b488,39128-114,PE,do Sul,Sítio da Rosa,5096,
f6661f7a-b5e5-4bf4-b35a-e8013f501e4d,90228544,MA,dos Dourados,Área de Martins,6022,Apto 12
223cc570-5648-452c-8d87-d74011679811,75268-323,BA,de Goiás,Distrito de Silva,7835,Apto 12
7d3ec930-44b7-4b7e-a5a8-8328d5a7460c,08131559,RN,dos Dourados,Quadra Caldeira,6122,Bloco B
049be4d2-ee8c-4cef-80aa-d7b1fe6869c3,39349-503,PR,do Norte,Feira Nicole Moreira,8807,Apto 12
49f84fa8-c174-4635-8fc9-9362623ca236,77066117,RO,do Oeste,Distrito Nicole Araújo,9762,
827e9fdd-c352-4049-b167-6a73b434d51c,38332-918,PE,do Amparo,Fazenda de Rodrigues,5928,
116c1145-ee5d-4229-b1fd-13c472db759f,05305701,São Paulo,do Amparo,Esplanada de da Rocha,1012,
2ce6e460-1ef8-47a3-9405-98292ad27207,49636-433,PE,do Sul,Conjunto de Alves,3313,
122ae3af-6708-4be9-8870-eb161825a913,10024370,BA,de Goiás,Loteamento Marques,2696,Casa 2
64f5d904-9bc6-438b-b8eb-72f460cd7b15,91359-816,PB,das Pedras,Recanto Maria Cecília Peixoto,1905,
9bcea7ea-b46f-4b43-9d05-3f350bc1e0b8,38795-424,RR,das Flores,Distrito Maitê Monteiro,9555,Bloco B
66f38ca7-c00d-42cc-a2da-b9feeb0f954a,87654-403,PE,da Prata,Rua de Sá,7299,
382abf91-4b0e-4ea5-b5f2-d758137f3b65,96915164,PE,do Oeste,Parque Fernandes,6807,Bloco B
a8266f32-ecc5-4e40-9247-faa07de05b7d,33228-072,PI,do Amparo,Loteamento Gomes,7576,Casa 2
da4c6725-5ff2-451a-a302-32e22de27ab9,17694391,MG,da Prata,Morro Fernandes,4170,
c015749d-57e4-4d54-8bf9-8166d43f4450,34307650,RJ,dos Dourados,Pátio de Almeida,1197,
b45451c0-dbb9-4782-84eb-84cc4ab8632d,51538618,RR,do Sul,Jardim de Cavalcanti,1045,
fc84e959-efb0-42ec-806a-a01d237ef18f,16602-317,São Paulo,do Sul,Esplanada de da Rocha,7735,
60ca0235-d1d4-419a-a959-1b93b78a0857,92510014,PA,Grande,Feira Guerra,2949,Apto 12
2969f5c4-1ef4-40bd-a9de-a1a1c82fd0a1,88340596,SC,do Oeste,Alameda de Abreu,6888,Casa 2
ccb58d16-58d3-438e-bd68-296c047e3d5f,12345,PB,Verde,Pátio de Ribeiro,6185,
1aa38219-5fa0-468b-9acf-c61b41cd8dd2,35459-260,RO,Alegre,Residencial Natália Camargo,8836,Apto 12
f669ec29-c89d-4dfd-8cd7-c26fa5dbd6a4,47411-518,MS,dos Dourados,Rodovia Alexandre Lopes,1944,Apto 12
a1a25276-db45-49bb-8ad0-a0f69825cd60,12345,PE,Alegre,Vale de Viana,2087,
6caf9b34-c006-4319-814c-4e7986a55133,37579162,ES,da Serra,Rodovia Borges,57,
41c64a1e-ff38-4d41-a0c0-ebce123d8e49,12345,RO,do Norte,Viela Rezende,8921,
ad6a790d-5d67-4683-90d0-61801fa2f9e7,05421969,MG,da Serra,Quadra Silva,3763,Apto 12
570a859a-7db0-442e-89aa-ab3a480ac24b,57055-398,BA,de Goiás,Feira Lorenzo Oliveira,4517,Apto 12
18578e3f-6ddb-4ecd-b511-31a25cf25a83,77327-281,São Paulo,do Amparo,Travessa Brenda Sales,528,
3fc9d643-a66b-4300-9bae-d750d5cf50cc,40087035,PA,do Sul,Conjunto de da Rocha,257,Apto 12
e0e8a83e-0560-42fc-a74d-8e3d9e7a18c4,12775869,AM,da Praia,Chácara de Correia,9732,
8b0cc925-6344-4704-b927-a26599c9b072,00917359,RO,do Campo,Colônia de Moreira,798,Apto 12
29a28b84-0c08-4f79-aeb2-83df57c6d5c5,68382-970,MG,Alegre,Via Alves,7192,Apto 12
7d17020c-4a13-4e0f-b2da-a43067d0173e,45488-352,SP,Alegre,Parque Emilly Moura,925,Apto 12
2a58e327-ffcc-4716-994d-995b35799f42,91886090,MA,do Campo,Rua de Vargas,3837,Casa 2
8bd92ff7-55d6-4cf4-92e5-07422dfdc448,56475988,SP,de Goiás,Chácara Vasconcelos,5254,Apto 12
484b41ea-325d-4e4c-bfdf-519925809da9,11416-116,BA,da Serra,Residencial de Rocha,8541,Apto 12
8c09d59b-2512-4d79-83b1-267f6cbd1b68,19160217,GO,da Prata,Conjunto de Sales,999,Apto 12
a76d6c99-631c-4507-9c60-a70ee1f92bb1,71686510,PA,de Minas,Residencial Gabriel Moreira,9108,Bloco B
4a53d97d-408d-4f8b-9021-0aa526cda574,06882-599,MS,do Campo,Vale de Silva,6245,Casa 2
cad56ebe-5502-4ff6-8c5c-739bf3ec4d8d,26059148,PA,da Prata,Praça Antony da Mota,2445,Casa 2
690f7b86-3bc7-4dd9-af58-70239264125d,70903-845,SP,da Serra,Colônia de Borges,8814,Bloco B
e79f3728-b3f3-45e1-b0cc-5dbf6b3a3b0e,10364713,ES,do Campo,Favela Nascimento,4928,Apto 12
398b4c01-94a8-4318-a159-c269c7a5b3f1,45907555,AL,da Prata,Setor de Dias,9215,Bloco B
78deedf1-b149-4660-8857-f4e8c5739ce0,cep-invalido,PE,Verde,Vila Porto,2197,
964534a3-be25-4f43-9a7f-1758e6f904f2,72639-244,GO,das Pedras,Estrada Ana Laura Siqueira,3332,Casa 2
ef341590-b8c8-478c-a455-72083de97b78,17084147,PB,Paulista,Feira das Neves,6080,
d663330d-96f7-426d-89bc-77a4b369e2d5,91654242,TO,do Galho,Trevo Guerra,3121,
bc24ed9c-ca6c-4a81-9f30-767157076aa5,64984211,RO,Grande,Travessa de Aparecida,9912,
não-é-um-uuid,64281-493,DF,Paulista,Viaduto Santos,9627,
4a8d0972-94e5-43b9-8424-524773d2004d,86091347,PI,da Mata,Campo de Nogueira,3556,Bloco B
51521d2b-5ee3-4700-a998-baf6803d612b,62383142,MT,Grande,Passarela de Cassiano,4968,
e3dd222e-b1e1-4406-834b-edce354eb599,57589-685,DF,Verde,Lago de Duarte,1923,Bloco B
57707cac-98e8-4e93-a061-336b1fc2a77b,50252-077,sao paulo,do Oeste,Aeroporto de Costela,6499,
7b2bf3e4-0dac-41c2-8646-6beef4e7c3cd,66183-588,SPP,do Campo,Favela Sales,4638,
44204825-f374-47b9-a543-122628564f23,22334-009,PI,da Mata,Feira Ferreira,5887,Casa 2
a6f935cb-860e-4cd8-8287-e81b5efe5015,23590218,PE,do Sul,Aeroporto Allana Silva,8148,Bloco B
5891a7a1-50ba-40fd-a15c-ce2eba1652d7,65226-610,SC,do Amparo,Viela Nicolas Vieira,7693,Casa 2
2fc83fbe-aab4-4c32-b57e-d24cea18fc2a,41086-044,SPP,Paulista,Parque Teixeira,5127,
072d810f-bb1d-423b-9009-fdf223eae241,52295-858,RJ,do Oeste,Passarela de Pacheco,3626,Apto 12
6078fb2b-ac02-43b4-8849-437afb0ccdf2,26348-378,PI,dos Dourados,Distrito Fonseca,9569,Bloco B
7c2694d4-d89b-403e-8234-e6e7b98a3363,09338-570,DF,das Flores,Parque Pimenta,5405,Apto 12
354b94ca-5658-4fba-a332-cde2909dbb3d,18817311,TO,das Flores,Quadra Pastor,4027,Bloco B
9492593d-0ca7-4622-ae2f-cc2a164b1c08,09008812,RO,de Minas,Fazenda de Albuquerque,5531,Casa 2
be75262f-a1fa-432f-afe9-9be953ca169f,10419-145,PR,da Mata,Aeroporto de Moreira,8038,Bloco B
8e9ea153-6e4c-4adc-a7bd-f70ccd30f24c,75258-694,SE,Grande,Setor Daniela Teixeira,5771,Apto 12
44a1ecaf-b810-44c5-86ec-df2f03d3ca5f,91179-846,PI,do Sul,Lago de Duarte,8001,Apto 12
8e012408-cc8e-4a41-9cf4-0f4ea7392895,04531-803,São Paulo,do Oeste,Conjunto Teixeira,8585,
54adfb59-2376-4328-bfd7-556575624aa4,38544004,AP,de Goiás,Alameda Manuela Camargo,795,
bbdd0853-28a7-4724-bdb0-9b392c77fcd8,16514-814,TO,Grande,Estação Costela,3792,
48f39b8c-eaac-4f70-87e2-39db3f80e687,38575-332,AC,de Minas,Favela Vieira,3584,Bloco B
7f46dd7d-7f80-44ef-8d6d-c719343141df,20312955,RN,das Pedras,Sítio Davi Lucas da Mota,7917,Bloco B
b7417a95-2122-43db-b78c-1b113b0717d5,06630195,PI,das Pedras,Esplanada Pinto,9039,Bloco B
0445ae55-67d4-4c5c-901c-5d08760cb268,04616-804,PE,das Pedras,Distrito de Correia,4502,Casa 2
3aff90ea-28a0-422a-8f91-d65f5a01470d,26439162,TO,do Galho,Avenida João Vitor Teixeira,7055,Apto 12
7b5915fe-d78f-49a8-99c8-c3a5a4cf071d,55968980,AM,do Campo,Largo Costa,8592,Apto 12
a263c27c-b650-493b-ad98-4b0da107ef48,35466-153,RN,Alegre,Morro de das Neves,8626,Casa 2
ce38f8a6-3f3c-4521-8911-a5a4e9c0e099,95127-864,GO,do Oeste,Trevo de Costa,6503,
e7dfabed-bf98-48ce-ac33-8018b83db70b,96798082,MG,da Prata,Aeroporto de Viana,7521,Apto 12
0e71b769-681b-4937-b66a-f6393d1060df,,MA,do Norte,Vale Araújo,1321,
84ac46ca-6a70-4966-a8ac-ff18cd26a899,88011979,RS,da Serra,Estrada de Pacheco,520,
14b4dba0-366d-4026-b841-d516970b54c1,16629-320,MG,do Campo,Área Oliveira,9056,Bloco B
14b38a3e-c0ec-4da9-bb5a-4a09e4376fea,05534-158,AC,Alegre,Lagoa de da Luz,2808,
5885b26e-e30e-4909-8504-09a93d377fce,57400-265,PA,do Norte,Campo da Mata,5428,
não-é-um-uuid,74049-106,AL,do Galho,Residencial Andrade,3765,
